Rule,Normal,Anomaly

false,0.860163,0.139837
false,0.860163,0.139837
false,0.834549,0.165451
false,0.849359,0.150641
false,0.849359,0.150641
false,0.748898,0.251102
false,0.866743,0.133257
false,0.866743,0.133257
false,0.866743,0.133257
false,0.862457,0.137543
false,0.862457,0.137543
false,0.866743,0.133257
false,0.866743,0.133257
false,0.866743,0.133257
false,0.866743,0.133257
false,0.868525,0.131475
false,0.818984,0.181016
false,0.819359,0.180641
false,0.769677,0.230323
false,0.819359,0.180641
false,0.902026,0.097974
false,0.892858,0.107142
false,0.879105,0.120895
false,0.879105,0.120895
true,0.284158,0.715842
true,0.284158,0.715842
true,0.292491,0.707509
true,0.292491,0.707509
false,0.292491,0.707509
true,0.284158,0.715842
true,0.292491,0.707509
true,0.699895,0.300105
true,0.292491,0.707509
true,0.292491,0.707509
true,0.284158,0.715842
true,0.699895,0.300105
false,0.284158,0.715842
false,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
true,0.699895,0.300105
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.294158,0.705842
false,0.292491,0.707509
true,0.292491,0.707509
true,0.292491,0.707509
true,0.292491,0.707509
false,0.284158,0.715842
true,0.292491,0.707509
false,0.284158,0.715842
false,0.284158,0.715842
true,0.252303,0.747697
false,0.284158,0.715842
false,0.294158,0.705842
true,0.284299,0.715701
false,0.294158,0.705842
true,0.302491,0.697509
true,0.284158,0.715842
false,0.292491,0.707509
true,0.284158,0.715842
false,0.879105,0.120895
false,0.879105,0.120895
false,0.292491,0.707509
false,0.879105,0.120895
false,0.292491,0.707509
true,0.284158,0.715842
false,0.292491,0.707509
true,0.284158,0.715842
true,0.294158,0.705842
true,0.284158,0.715842
true,0.274321,0.725679
true,0.274321,0.725679
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
false,0.292491,0.707509
false,0.292491,0.707509
true,0.292491,0.707509
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.292491,0.707509
true,0.302491,0.697509
false,0.292491,0.707509
false,0.292491,0.707509
true,0.302491,0.697509
true,0.294158,0.705842
false,0.292491,0.707509
false,0.292491,0.707509
false,0.294158,0.705842
false,0.294158,0.705842
false,0.879105,0.120895
false,0.257696,0.742304
false,0.294158,0.705842
true,0.302491,0.697509
false,0.292491,0.707509
false,0.325379,0.674621
false,0.292491,0.707509
false,0.325379,0.674621
false,0.325379,0.674621
true,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
true,0.284158,0.715842
false,0.292491,0.707509
false,0.292491,0.707509
false,0.325379,0.674621
true,0.302491,0.697509
false,0.292491,0.707509
true,0.292491,0.707509
true,0.285191,0.714809
true,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
true,0.325379,0.674621
true,0.325379,0.674621
true,0.284158,0.715842
true,0.292491,0.707509
true,0.284158,0.715842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.257696,0.742304
true,0.274320,0.725680
true,0.274320,0.725680
true,0.242466,0.757534
true,0.274320,0.725680
true,0.274320,0.725680
true,0.284320,0.715680
true,0.274320,0.725680
true,0.274320,0.725680
true,0.274320,0.725680
true,0.284320,0.715680
true,0.274320,0.725680
true,0.284320,0.715680
true,0.274320,0.725680
true,0.284320,0.715680
true,0.284320,0.715680
false,0.292491,0.707509
true,0.284320,0.715680
true,0.292491,0.707509
true,0.257695,0.742305
false,0.292491,0.707509
false,0.292491,0.707509
false,0.284158,0.715842
true,0.302491,0.697509
false,0.292491,0.707509
false,0.292491,0.707509
true,0.302491,0.697509
false,0.292491,0.707509
false,0.294158,0.705842
false,0.292491,0.707509
true,0.294158,0.705842
false,0.294158,0.705842
false,0.294158,0.705842
false,0.257696,0.742304
true,0.292491,0.707509
true,0.292491,0.707509
true,0.292491,0.707509
true,0.302491,0.697509
true,0.292491,0.707509
true,0.284158,0.715842
true,0.292491,0.707509
false,0.284158,0.715842
false,0.292491,0.707509
true,0.292491,0.707509
false,0.292491,0.707509
false,0.284158,0.715842
false,0.284158,0.715842
true,0.244133,0.755867
false,0.284158,0.715842
true,0.292491,0.707509
true,0.251633,0.748367
true,0.292491,0.707509
true,0.292491,0.707509
false,0.325379,0.674621
false,0.325379,0.674621
false,0.292491,0.707509
false,0.292491,0.707509
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.291821,0.708179
true,0.293969,0.706031
true,0.251633,0.748367
true,0.294158,0.705842
true,0.294158,0.705842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.292491,0.707509
true,0.284158,0.715842
true,0.284158,0.715842
false,0.284158,0.715842
true,0.292491,0.707509
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.292491,0.707509
false,0.302491,0.697509
true,0.284158,0.715842
true,0.284158,0.715842
true,0.294158,0.705842
true,0.253970,0.746030
true,0.253970,0.746030
true,0.253970,0.746030
true,0.294158,0.705842
true,0.294158,0.705842
true,0.284320,0.715680
true,0.294158,0.705842
true,0.294158,0.705842
true,0.291090,0.708910
true,0.284320,0.715680
true,0.291090,0.708910
true,0.294158,0.705842
true,0.294158,0.705842
true,0.301658,0.698342
true,0.301658,0.698342
true,0.294158,0.705842
true,0.313969,0.686031
true,0.261471,0.738529
true,0.294158,0.705842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.294158,0.705842
true,0.294158,0.705842
true,0.284320,0.715680
false,0.294158,0.705842
true,0.244133,0.755867
true,0.294158,0.705842
true,0.244133,0.755867
true,0.284320,0.715680
true,0.244133,0.755867
true,0.284320,0.715680
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284320,0.715680
false,0.284158,0.715842
false,0.284158,0.715842
false,0.302491,0.697509
true,0.302491,0.697509
false,0.292491,0.707509
true,0.284158,0.715842
true,0.294158,0.705842
true,0.294158,0.705842
false,0.294158,0.705842
false,0.294158,0.705842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.252303,0.747697
true,0.252303,0.747697
true,0.284158,0.715842
true,0.243970,0.756030
true,0.252303,0.747697
true,0.262303,0.737697
true,0.252303,0.747697
true,0.252303,0.747697
true,0.262303,0.737697
true,0.252303,0.747697
true,0.252303,0.747697
true,0.253970,0.746030
true,0.253970,0.746030
true,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.284158,0.715842
true,0.294158,0.705842
true,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.294158,0.705842
true,0.294158,0.705842
false,0.325379,0.674621
false,0.291090,0.708910
true,0.302491,0.697509
false,0.302491,0.697509
true,0.302491,0.697509
false,0.325379,0.674621
true,0.302491,0.697509
true,0.292491,0.707509
false,0.302491,0.697509
true,0.302491,0.697509
true,0.292491,0.707509
true,0.302491,0.697509
true,0.302491,0.697509
true,0.292491,0.707509
false,0.302491,0.697509
true,0.284299,0.715701
true,0.699895,0.300105
true,0.302491,0.697509
true,0.284299,0.715701
true,0.284299,0.715701
false,0.292491,0.707509
true,0.292491,0.707509
true,0.292491,0.707509
true,0.294158,0.705842
true,0.294158,0.705842
false,0.294158,0.705842
false,0.292491,0.707509
true,0.294158,0.705842
true,0.292491,0.707509
true,0.294158,0.705842
true,0.292491,0.707509
true,0.294158,0.705842
false,0.294158,0.705842
true,0.294158,0.705842
false,0.294158,0.705842
false,0.294158,0.705842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.294158,0.705842
false,0.294158,0.705842
true,0.294158,0.705842
true,0.226437,0.773563
false,0.294158,0.705842
true,0.294158,0.705842
true,0.226437,0.773563
false,0.294158,0.705842
false,0.284158,0.715842
false,0.284158,0.715842
true,0.294158,0.705842
false,0.294158,0.705842
true,0.284158,0.715842
false,0.294158,0.705842
true,0.284158,0.715842
false,0.302491,0.697509
false,0.302491,0.697509
false,0.302491,0.697509
false,0.294158,0.705842
false,0.294158,0.705842
false,0.294158,0.705842
true,0.294158,0.705842
true,0.237883,0.762117
true,0.237883,0.762117
false,0.257696,0.742304
true,0.244133,0.755867
true,0.302491,0.697509
true,0.292491,0.707509
false,0.292491,0.707509
true,0.292491,0.707509
false,0.294158,0.705842
false,0.302491,0.697509
false,0.294158,0.705842
false,0.284158,0.715842
false,0.294158,0.705842
true,0.284158,0.715842
false,0.284158,0.715842
false,0.294158,0.705842
false,0.294158,0.705842
false,0.284158,0.715842
false,0.294158,0.705842
false,0.294158,0.705842
true,0.284158,0.715842
false,0.294158,0.705842
false,0.284158,0.715842
true,0.218936,0.781064
false,0.284158,0.715842
true,0.294158,0.705842
false,0.294158,0.705842
false,0.292491,0.707509
false,0.294158,0.705842
false,0.292491,0.707509
false,0.879105,0.120895
true,0.294158,0.705842
false,0.879105,0.120895
true,0.284158,0.715842
false,0.284158,0.715842
true,0.294158,0.705842
false,0.292491,0.707509
false,0.294158,0.705842
false,0.302491,0.697509
false,0.294158,0.705842
false,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
false,0.294158,0.705842
true,0.294158,0.705842
false,0.294158,0.705842
false,0.294158,0.705842
false,0.294158,0.705842
false,0.294158,0.705842
true,0.294158,0.705842
false,0.284320,0.715680
false,0.302491,0.697509
false,0.302491,0.697509
true,0.284320,0.715680
true,0.284320,0.715680
false,0.302491,0.697509
false,0.302491,0.697509
false,0.302491,0.697509
false,0.284158,0.715842
false,0.284158,0.715842
false,0.294158,0.705842
true,0.284158,0.715842
false,0.294158,0.705842
true,0.284158,0.715842
false,0.294158,0.705842
false,0.294158,0.705842
false,0.188749,0.811251
false,0.302491,0.697509
false,0.284158,0.715842
true,0.292491,0.707509
true,0.292491,0.707509
true,0.294158,0.705842
true,0.292491,0.707509
false,0.292491,0.707509
false,0.325379,0.674621
false,0.325379,0.674621
false,0.325379,0.674621
false,0.325379,0.674621
false,0.292491,0.707509
false,0.325379,0.674621
false,0.292491,0.707509
true,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
false,0.292491,0.707509
true,0.699895,0.300105
false,0.284158,0.715842
false,0.292491,0.707509
true,0.292491,0.707509
false,0.284158,0.715842
true,0.285191,0.714809
true,0.284158,0.715842
true,0.284158,0.715842
false,0.294158,0.705842
true,0.294158,0.705842
true,0.284158,0.715842
true,0.294158,0.705842
true,0.253970,0.746030
true,0.294158,0.705842
true,0.294158,0.705842
true,0.282653,0.717347
true,0.218936,0.781064
true,0.274321,0.725679
true,0.218936,0.781064
true,0.219358,0.780642
true,0.274320,0.725680
false,0.282654,0.717346
true,0.282654,0.717346
true,0.282653,0.717347
true,0.242466,0.757534
true,0.282653,0.717347
true,0.218936,0.781064
true,0.198936,0.801064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.182500,0.817500
true,0.212687,0.787313
true,0.178749,0.821251
true,0.178749,0.821251
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.188749,0.811251
true,0.178749,0.821251
true,0.218936,0.781064
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.178749,0.821251
true,0.188749,0.811251
true,0.218936,0.781064
false,0.218936,0.781064
false,0.188749,0.811251
false,0.218936,0.781064
true,0.284158,0.715842
false,0.188749,0.811251
true,0.218936,0.781064
true,0.218936,0.781064
true,0.188749,0.811251
true,0.274321,0.725679
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
false,0.234133,0.765867
true,0.234133,0.765867
false,0.234133,0.765867
true,0.218936,0.781064
true,0.282653,0.717347
true,0.218936,0.781064
true,0.274320,0.725680
true,0.282654,0.717346
true,0.274320,0.725680
true,0.274320,0.725680
true,0.218936,0.781064
true,0.274321,0.725679
true,0.218936,0.781064
true,0.274321,0.725679
true,0.274321,0.725679
true,0.274321,0.725679
false,0.292491,0.707509
true,0.292491,0.707509
true,0.218936,0.781064
true,0.284158,0.715842
true,0.218936,0.781064
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.218936,0.781064
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.284158,0.715842
true,0.218936,0.781064
true,0.284158,0.715842
true,0.274321,0.725679
true,0.218936,0.781064
true,0.274321,0.725679
true,0.218936,0.781064
true,0.274321,0.725679
true,0.218936,0.781064
true,0.274321,0.725679
true,0.274321,0.725679
true,0.274321,0.725679
true,0.274321,0.725679
true,0.212687,0.787313
true,0.274321,0.725679
true,0.268072,0.731928
true,0.274321,0.725679
true,0.268072,0.731928
true,0.218936,0.781064
true,0.274321,0.725679
true,0.218936,0.781064
true,0.274320,0.725680
true,0.274320,0.725680
true,0.274321,0.725679
true,0.274321,0.725679
true,0.218936,0.781064
true,0.188749,0.811251
true,0.182500,0.817500
true,0.234134,0.765866
true,0.227884,0.772116
true,0.234134,0.765866
true,0.227884,0.772116
true,0.227884,0.772116
true,0.182500,0.817500
true,0.227884,0.772116
true,0.227884,0.772116
true,0.182500,0.817500
true,0.227884,0.772116
true,0.274321,0.725679
true,0.274321,0.725679
true,0.274321,0.725679
true,0.274321,0.725679
true,0.227883,0.772117
true,0.227883,0.772117
true,0.182500,0.817500
true,0.227884,0.772116
true,0.182500,0.817500
true,0.188749,0.811251
true,0.227884,0.772116
true,0.234134,0.765866
true,0.234134,0.765866
true,0.234134,0.765866
true,0.188749,0.811251
true,0.188749,0.811251
true,0.234134,0.765866
true,0.234134,0.765866
true,0.234134,0.765866
true,0.188749,0.811251
true,0.182500,0.817500
true,0.234134,0.765866
true,0.234134,0.765866
true,0.227884,0.772116
true,0.227884,0.772116
false,0.274321,0.725679
false,0.274321,0.725679
false,0.188749,0.811251
false,0.234134,0.765866
false,0.188749,0.811251
false,0.234134,0.765866
false,0.234133,0.765867
false,0.234133,0.765867
false,0.218936,0.781064
true,0.182500,0.817500
false,0.274320,0.725680
false,0.274320,0.725680
true,0.227883,0.772117
true,0.227883,0.772117
true,0.274320,0.725680
true,0.218936,0.781064
true,0.274320,0.725680
true,0.218936,0.781064
true,0.274320,0.725680
true,0.274320,0.725680
true,0.274320,0.725680
true,0.218936,0.781064
true,0.274320,0.725680
true,0.274320,0.725680
true,0.218936,0.781064
true,0.274320,0.725680
true,0.218936,0.781064
true,0.274320,0.725680
true,0.274320,0.725680
true,0.274320,0.725680
true,0.218936,0.781064
true,0.274320,0.725680
true,0.218936,0.781064
true,0.274321,0.725679
true,0.274321,0.725679
true,0.218936,0.781064
true,0.274321,0.725679
true,0.274321,0.725679
true,0.188749,0.811251
true,0.234134,0.765866
true,0.182500,0.817500
true,0.227884,0.772116
true,0.234134,0.765866
true,0.227884,0.772116
true,0.188749,0.811251
true,0.234134,0.765866
true,0.234134,0.765866
true,0.178749,0.821251
true,0.224134,0.775866
true,0.224134,0.775866
true,0.234133,0.765867
true,0.188749,0.811251
true,0.234133,0.765867
true,0.218936,0.781064
true,0.274320,0.725680
true,0.274320,0.725680
true,0.188749,0.811251
true,0.234134,0.765866
true,0.234134,0.765866
false,0.188749,0.811251
false,0.234134,0.765866
false,0.234134,0.765866
true,0.188749,0.811251
true,0.234134,0.765866
true,0.188749,0.811251
true,0.234134,0.765866
true,0.234134,0.765866
true,0.234134,0.765866
true,0.188749,0.811251
true,0.234134,0.765866
true,0.234134,0.765866
true,0.188749,0.811251
true,0.234134,0.765866
true,0.234134,0.765866
false,0.234133,0.765867
false,0.188749,0.811251
true,0.188749,0.811251
true,0.234134,0.765866
false,0.234133,0.765867
true,0.234134,0.765866
true,0.188749,0.811251
true,0.234133,0.765867
true,0.188749,0.811251
true,0.234133,0.765867
true,0.234133,0.765867
true,0.234133,0.765867
true,0.188749,0.811251
true,0.234134,0.765866
false,0.274321,0.725679
true,0.234134,0.765866
false,0.274321,0.725679
true,0.218936,0.781064
true,0.274321,0.725679
true,0.274320,0.725680
true,0.274321,0.725679
true,0.274320,0.725680
true,0.218936,0.781064
true,0.274321,0.725679
true,0.218936,0.781064
true,0.274321,0.725679
true,0.274321,0.725679
true,0.274321,0.725679
true,0.218936,0.781064
true,0.274321,0.725679
true,0.274321,0.725679
true,0.274321,0.725679
true,0.218936,0.781064
false,0.712247,0.287753
true,0.570803,0.429197
false,0.325379,0.674621
false,0.218936,0.781064
true,0.218936,0.781064
true,0.219358,0.780642
true,0.218936,0.781064
true,0.284158,0.715842
true,0.218936,0.781064
true,0.274320,0.725680
true,0.284158,0.715842
false,0.198749,0.801251
true,0.198749,0.801251
true,0.198749,0.801251
false,0.218936,0.781064
false,0.218936,0.781064
false,0.218936,0.781064
false,0.218936,0.781064
true,0.178749,0.821251
false,0.218936,0.781064
true,0.178749,0.821251
true,0.182500,0.817500
true,0.185681,0.814319
true,0.188749,0.811251
true,0.188749,0.811251
true,0.168749,0.831251
true,0.215868,0.784132
true,0.168749,0.831251
true,0.182500,0.817500
true,0.182500,0.817500
false,0.292491,0.707509
true,0.212687,0.787313
false,0.292491,0.707509
false,0.243970,0.756030
true,0.243970,0.756030
true,0.243970,0.756030
true,0.232466,0.767534
true,0.240902,0.759098
false,0.243970,0.756030
true,0.252303,0.747697
false,0.234133,0.765867
false,0.243970,0.756030
true,0.188749,0.811251
true,0.188749,0.811251
false,0.243970,0.756030
true,0.189170,0.810830
true,0.252303,0.747697
true,0.188749,0.811251
true,0.189170,0.810830
true,0.189170,0.810830
true,0.188749,0.811251
true,0.185681,0.814319
true,0.188749,0.811251
false,0.188749,0.811251
false,0.218936,0.781064
false,0.218936,0.781064
true,0.188749,0.811251
false,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.182500,0.817500
true,0.188749,0.811251
true,0.188749,0.811251
false,0.182500,0.817500
true,0.188749,0.811251
false,0.188749,0.811251
false,0.188749,0.811251
true,0.325379,0.674621
true,0.325379,0.674621
true,0.325379,0.674621
true,0.325379,0.674621
true,0.325379,0.674621
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.188749,0.811251
true,0.218936,0.781064
true,0.218936,0.781064
true,0.188749,0.811251
true,0.188749,0.811251
true,0.218936,0.781064
true,0.244134,0.755866
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.234133,0.765867
true,0.242466,0.757534
true,0.274320,0.725680
true,0.242466,0.757534
true,0.521442,0.478558
true,0.521442,0.478558
true,0.521442,0.478558
true,0.188749,0.811251
true,0.218936,0.781064
false,0.188749,0.811251
false,0.188749,0.811251
true,0.202687,0.797313
true,0.182500,0.817500
true,0.182500,0.817500
true,0.212687,0.787313
true,0.182500,0.817500
true,0.182500,0.817500
true,0.212687,0.787313
true,0.274132,0.725868
true,0.182500,0.817500
false,0.252303,0.747697
true,0.188749,0.811251
false,0.252303,0.747697
true,0.284158,0.715842
true,0.243970,0.756030
true,0.284158,0.715842
false,0.252303,0.747697
false,0.208936,0.791064
true,0.188749,0.811251
false,0.218936,0.781064
true,0.188749,0.811251
true,0.218936,0.781064
true,0.188749,0.811251
true,0.218936,0.781064
true,0.218936,0.781064
true,0.218936,0.781064
true,0.188749,0.811251
false,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
false,0.208936,0.791064
false,0.208936,0.791064
false,0.208936,0.791064
false,0.208936,0.791064
false,0.208936,0.791064
false,0.208936,0.791064
false,0.208936,0.791064
false,0.208936,0.791064
false,0.208936,0.791064
false,0.208936,0.791064
false,0.208936,0.791064
false,0.208936,0.791064
false,0.208936,0.791064
false,0.188749,0.811251
false,0.208936,0.791064
false,0.218936,0.781064
true,0.188749,0.811251
false,0.188749,0.811251
true,0.218936,0.781064
true,0.188749,0.811251
true,0.212687,0.787313
true,0.182500,0.817500
true,0.182500,0.817500
true,0.212687,0.787313
true,0.212687,0.787313
true,0.182500,0.817500
true,0.182500,0.817500
true,0.212687,0.787313
true,0.212687,0.787313
true,0.182500,0.817500
true,0.182500,0.817500
true,0.182500,0.817500
true,0.182500,0.817500
true,0.188749,0.811251
true,0.243970,0.756030
true,0.188749,0.811251
true,0.212687,0.787313
true,0.212687,0.787313
true,0.182500,0.817500
true,0.212687,0.787313
true,0.212687,0.787313
true,0.182500,0.817500
true,0.188749,0.811251
false,0.182500,0.817500
true,0.172500,0.827500
true,0.218936,0.781064
true,0.274320,0.725680
false,0.218936,0.781064
true,0.188749,0.811251
false,0.188749,0.811251
true,0.468551,0.531449
true,0.547353,0.452647
true,0.188749,0.811251
true,0.175681,0.824319
false,0.284158,0.715842
true,0.189170,0.810830
false,0.325379,0.674621
false,0.325379,0.674621
false,0.219358,0.780642
true,0.292491,0.707509
false,0.879105,0.120895
false,0.718918,0.281082
true,0.718918,0.281082
true,0.718918,0.281082
false,0.718918,0.281082
false,0.879105,0.120895
false,0.718918,0.281082
false,0.871170,0.128830
false,0.879105,0.120895
false,0.325379,0.674621
false,0.325379,0.674621
true,0.275191,0.724809
true,0.285191,0.714809
true,0.285191,0.714809
true,0.285191,0.714809
true,0.285191,0.714809
true,0.285191,0.714809
true,0.243970,0.756030
true,0.243970,0.756030
true,0.252303,0.747697
true,0.243970,0.756030
true,0.243970,0.756030
true,0.284158,0.715842
true,0.243970,0.756030
true,0.243970,0.756030
true,0.284158,0.715842
true,0.325379,0.674621
true,0.325379,0.674621
true,0.325379,0.674621
false,0.325379,0.674621
false,0.325379,0.674621
false,0.879105,0.120895
false,0.879105,0.120895
false,0.879105,0.120895
false,0.879105,0.120895
false,0.879105,0.120895
false,0.860082,0.139918
true,0.275191,0.724809
true,0.275191,0.724809
true,0.275191,0.724809
true,0.275191,0.724809
true,0.275191,0.724809
true,0.275191,0.724809
true,0.275191,0.724809
true,0.242466,0.757534
true,0.234133,0.765867
true,0.234133,0.765867
true,0.234133,0.765867
true,0.234133,0.765867
true,0.242466,0.757534
true,0.242466,0.757534
true,0.252303,0.747697
true,0.234133,0.765867
true,0.242466,0.757534
true,0.242466,0.757534
true,0.188749,0.811251
true,0.234133,0.765867
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.218936,0.781064
true,0.188749,0.811251
true,0.182500,0.817500
true,0.709486,0.290514
true,0.236216,0.763784
true,0.242466,0.757534
true,0.212687,0.787313
true,0.242466,0.757534
true,0.242466,0.757534
true,0.188749,0.811251
true,0.188749,0.811251
true,0.218936,0.781064
true,0.218936,0.781064
true,0.212687,0.787313
true,0.212687,0.787313
true,0.182500,0.817500
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.182500,0.817500
true,0.188749,0.811251
true,0.182500,0.817500
true,0.182500,0.817500
true,0.182500,0.817500
true,0.242466,0.757534
true,0.188749,0.811251
true,0.188749,0.811251
true,0.218936,0.781064
true,0.218936,0.781064
true,0.274320,0.725680
true,0.274321,0.725679
true,0.274320,0.725680
true,0.274321,0.725679
true,0.198749,0.801251
true,0.198749,0.801251
true,0.198749,0.801251
true,0.198749,0.801251
true,0.198749,0.801251
true,0.195681,0.804319
true,0.188749,0.811251
true,0.188749,0.811251
true,0.188749,0.811251
true,0.172500,0.827500
true,0.188749,0.811251
false,0.284158,0.715842
false,0.274320,0.725680
false,0.284158,0.715842
true,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.294132,0.705868
true,0.294132,0.705868
true,0.294132,0.705868
true,0.294132,0.705868
true,0.294132,0.705868
false,0.234133,0.765867
true,0.312302,0.687698
true,0.234133,0.765867
true,0.263782,0.736218
true,0.294132,0.705868
true,0.234133,0.765867
true,0.294132,0.705868
true,0.253944,0.746056
true,0.294132,0.705868
true,0.234133,0.765867
true,0.234133,0.765867
true,0.234133,0.765867
true,0.234133,0.765867
true,0.234133,0.765867
true,0.234133,0.765867
true,0.234133,0.765867
true,0.234133,0.765867
false,0.234133,0.765867
false,0.284158,0.715842
false,0.284158,0.715842
false,0.284158,0.715842
false,0.234133,0.765867
true,0.303969,0.696031
false,0.304132,0.695868
true,0.304132,0.695868
false,0.302465,0.697535
true,0.244133,0.755867
false,0.292491,0.707509
false,0.303969,0.696031
true,0.234133,0.765867
true,0.234133,0.765867
true,0.234133,0.765867
true,0.234133,0.765867
